Investment,9388266326,Kati Rulapaugh,101.46969,Shares
Savings,4373387895,Abel Maclead,103.975872,11.84
Investment,2524622716,Ezekiel Chui,157.72511999999998,Shares
Investment,9567454228,Dyan Oldroyd,159.92717999999996,Shares
Checking,9112997843,Veronika Inouye,198.21
Checking,2618642488,Kanisha Waycott,198.51
Savings,8666618232,Francine Vocelka,270.623312,9.76
Checking,2988811818,Leota Dilliard,281.96
Savings,9525996133,Fletcher Flosi,358.14088333333336,6.2
Savings,4332584363,Josephine Darakjy,404.59739775,9.83
Investment,3466958384,Lenna Paprocki,507.7600499999999,Growth
Savings,2636761959,Youlanda Schemmer,641.6969575700736,10.56
Investment,7987268119,Graciela Ruta,679.12971,Growth
Checking,4342568492,Simona Morasca,1567.9
Investment,6163767899,Bernardo Figeroa,2209.23213,Property
Savings,8299447162,Erick Ferencz,3837.0166375,0.75
Checking,4668155593,Sage Wieser,7637.21
Checking,2783955784,Roxane Campain,9790.36
Investment,8879343291,Minna Amigon,16199.63961,Growth
Savings,5446769365,Albina Glick,65.75408583333333,8.9,closed
Investment,4175493256,Gladys Rim,77.71892940000002,Shares,closed
Checking,9469978369,Rozella Ostrosky,84.05,closed
Savings,6639764595,Lavera Perin,87.952253,1.26,closed
